KEYWORD,INTENT,GROUPS,LABELS,VOLUME,YOY TREND,SUM TOP10 CTR,[M] FEATURES,[D] FEATURES,[M] RANK,[M] CHANGE,[M] PAGE,[M] BEST RANK,[M] BEST RANK DATE,[M] AIO Brand Mention,[M] AIO Cited Rank,[M] AIO Cited Rank Change,[M] AIO Citation Status,[M] AIO Cited URL,[D] RANK,[D] CHANGE,[D] PAGE,[D] BEST RANK,[D] BEST RANK DATE,[D] AIO Brand Mention,[D] AIO Cited Rank,[D] AIO Cited Rank Change,[D] AIO Citation Status,[D] AIO Cited URL,DIFFICULTY,OPPORTUNITY,ADDED ON
cannes villas,transactional,France,,390,-19%,66%,"Video Carousel, Images pack, Hotels",Hotels,100,-,https://www.solmarvillas.com/destinations/france-villas/south-of-france/french-riviera/cannes/villa-argeles,100,N/A,No Brand Mentioned,Not Cited,-,,Not Cited,100,-,https://www.solmarvillas.com/destinations/france-villas/south-of-france/french-riviera/cannes/villa-argeles,100,N/A,No Brand Mentioned,Not Cited,-,,Not Cited,Hard,2,2025-10-16
san stefanos villas,transactional,Greece,,90,-48%,100%,Images pack,Images pack,6,-,https://www.solmarvillas.com/destinations/greece-villas/greek-islands/corfu/san-stefanos,6,2025-10-16,No Brand Mentioned,Not Cited,-,,Not Cited,5,-,https://www.solmarvillas.com/destinations/greece-villas/greek-islands/corfu/san-stefanos,5,2025-10-16,No Brand Mentioned,Not Cited,-,,Not Cited,Top10,2,2025-10-16
sivota villas,commercial,Greece,,90,0%,68%,"Video Carousel, Images pack, Hotels","Images pack, Questions, Hotels",4,-,https://www.solmarvillas.com/destinations/greece-villas/greek-islands/lefkas/sivota,4,2025-10-16,No Brand Mentioned,Not Cited,-,,Not Cited,4,-,https://www.solmarvillas.com/destinations/greece-villas/greek-islands/lefkas/sivota,4,2025-10-16,No Brand Mentioned,Not Cited,-,,Not Cited,Top10,2,2025-10-16
aix en provence villas,transactional,France,,40,50%,72%,"Video Carousel, Images pack, Hotels","Ads Pack Down, Images pack, Hotels",5,-,https://www.solmarvillas.com/destinations/france-villas/south-of-france/provence/aix-en-provence,5,2025-10-16,No Brand Mentioned,Not Cited,-,,Not Cited,5,-,https://www.solmarvillas.com/destinations/france-villas/south-of-france/provence/aix-en-provence,5,2025-10-16,No Brand Mentioned,Not Cited,-,,Not Cited,Top10,2,2025-10-16
salento villas,transactional,Italy,,20,0%,72%,"Images pack, Hotels","Images pack, Hotels",8,-,https://www.solmarvillas.com/destinations/italy-villas/puglia/salento,8,2025-10-16,No Brand Mentioned,Not Cited,-,,Not Cited,7,-,https://www.solmarvillas.com/destinations/italy-villas/puglia/salento,7,2025-10-16,No Brand Mentioned,Not Cited,-,,Not Cited,Top10,1,2025-10-16
kalithea villas,transactional,Greece | AI Overview Mobile,,50,-59%,87%,"Video Carousel, Images pack, AI Overview",Images pack,6,-,https://www.solmarvillas.com/destinations/greece-villas/greek-islands/rhodes/kalithea,6,2025-10-16,No Brand Mentioned,Not Cited,-,,Not Cited,5,-,https://www.solmarvillas.com/destinations/greece-villas/greek-islands/rhodes/kalithea,5,2025-10-16,No Brand Mentioned,Not Cited,-,,Not Cited,Top10,1,2025-10-16
st thomas villas,transactional,Greece | AI Overview Desktop | AI Overview Mobile,,40,33%,70%,"Images pack, Questions, AI Overview","Images pack, AI Overview",19,-,https://www.solmarvillas.com/destinations/greece-villas/greek-islands/kefalonia/st-thomas/villa-ilion,19,2025-10-16,Only Others Mentioned,Not Cited,-,,Not Cited,17,-,https://www.solmarvillas.com/destinations/greece-villas/greek-islands/kefalonia/st-thomas,3,2025-10-16,Only Others Mentioned,Not Cited,-,,Not Cited,Medium,1,2025-10-16
aghios stefanos villas,transactional,Greece,Misspelled,10,0%,68%,"Video Carousel, Images pack, Hotels","Images pack, Hotels",4,-,https://www.solmarvillas.com/destinations/greece-villas/greek-islands/corfu/aghios-stefanos,4,2025-10-16,No Brand Mentioned,Not Cited,-,,Not Cited,4,-,https://www.solmarvillas.com/destinations/greece-villas/greek-islands/corfu/aghios-stefanos,4,2025-10-16,No Brand Mentioned,Not Cited,-,,Not Cited,Top10,1,2025-10-16
armacao de pera villas,transactional,Portugal,,30,-80%,68%,"Images pack, Hotels","Images pack, Hotels",8,-,https://www.solmarvillas.com/destinations/portugal-villas/algarve/armacao-de-pera/villa-ash,8,2025-10-16,No Brand Mentioned,Not Cited,-,,Not Cited,7,-,https://www.solmarvillas.com/destinations/portugal-villas/algarve/armacao-de-pera/villa-marvi,7,2025-10-16,No Brand Mentioned,Not Cited,-,,Not Cited,Top10,1,2025-10-16
solterra villas,commercial,USA,,40,-20%,98%,"Video Carousel, Images pack","Images pack, Hotels",22,-,https://www.solmarvillas.com/destinations/usa-villas/florida/orlando/solterra,22,2025-10-16,No Brand Mentioned,Not Cited,-,,Not Cited,56,-,https://www.solmarvillas.com/destinations/usa-villas/florida/orlando/solterra/villa-oakmoss-loop,56,2025-10-16,No Brand Mentioned,Not Cited,-,,Not Cited,Hard,1,2025-10-16
west sicily villas,transactional,Italy,,0,0%,72%,"Images pack, Hotels","Images pack, Hotels",5,-,https://www.solmarvillas.com/destinations/italy-villas/sicily/west-sicily,5,2025-10-16,No Brand Mentioned,Not Cited,-,,Not Cited,6,-,https://www.solmarvillas.com/destinations/italy-villas/sicily/west-sicily,6,2025-10-16,No Brand Mentioned,Not Cited,-,,Not Cited,Top10,0,2025-10-16
sea view villas in cyprus villas,commercial,Cyprus | AI Overview Desktop,,0,0%,71%,"Video Carousel, Images pack, Hotels","Images pack, Hotels, AI Overview",4,-,https://www.solmarvillas.com/destinations/cyprus-villas/sea-view-villas-in-cyprus,4,2025-10-16,No Brand Mentioned,Not Cited,-,,Not Cited,4,-,https://www.solmarvillas.com/destinations/cyprus-villas/sea-view-villas-in-cyprus,4,2025-10-16,No Brand Mentioned,Not Cited,-,,Not Cited,Top10,0,2025-10-16
karavados villas,transactional,Greece,,0,0%,68%,"Images pack, Hotels","Images pack, Hotels",7,-,https://www.solmarvillas.com/destinations/greece-villas/greek-islands/kefalonia/karavados/villa-shiranne,7,2025-10-16,No Brand Mentioned,Not Cited,-,,Not Cited,7,-,https://www.solmarvillas.com/destinations/greece-villas/greek-islands/kefalonia/karavados/villa-shiranne,7,2025-10-16,No Brand Mentioned,Not Cited,-,,Not Cited,Top10,0,2025-10-16
mastihari villas,transactional,Greece,,0,0%,68%,"Images pack, Hotels","Images pack, Hotels",5,-,https://www.solmarvillas.com/destinations/greece-villas/greek-islands/kos/Mastihari,5,2025-10-16,No Brand Mentioned,Not Cited,-,,Not Cited,4,-,https://www.solmarvillas.com/destinations/greece-villas/greek-islands/kos/Mastihari,4,2025-10-16,No Brand Mentioned,Not Cited,-,,Not Cited,Top10,0,2025-10-16
lixouri villas,transactional,Greece,,0,0%,79%,"Images pack, Hotels","Images pack, Questions, Hotels",5,-,https://www.solmarvillas.com/destinations/greece-villas/greek-islands/kefalonia/lixouri/villa-elia-lixouri,5,2025-10-16,No Brand Mentioned,Not Cited,-,,Not Cited,5,-,https://www.solmarvillas.com/destinations/greece-villas/greek-islands/kefalonia/lixouri/villa-elia-lixouri,5,2025-10-16,No Brand Mentioned,Not Cited,-,,Not Cited,Top10,0,2025-10-16
myrtos beach villas,transactional,Greece,,0,0%,80%,"Images pack, Hotels","Images pack, Hotels",5,-,https://www.solmarvillas.com/destinations/greece-villas/greek-islands/kefalonia/myrtos-beach,5,2025-10-16,No Brand Mentioned,Not Cited,-,,Not Cited,5,-,https://www.solmarvillas.com/destinations/greece-villas/greek-islands/kefalonia/myrtos-beach,5,2025-10-16,No Brand Mentioned,Not Cited,-,,Not Cited,Top10,0,2025-10-16
boukari villas,transactional,Greece,,0,0%,90%,"Images pack, Hotels","Images pack, Hotels",3,-,https://www.solmarvillas.com/destinations/greece-villas/greek-islands/corfu/boukari,3,2025-10-16,No Brand Mentioned,Not Cited,-,,Not Cited,6,-,https://www.solmarvillas.com/destinations/greece-villas/greek-islands/corfu/boukari,6,2025-10-16,No Brand Mentioned,Not Cited,-,,Not Cited,Top10,0,2025-10-16
kouloura villas,transactional,Greece,,0,0%,99%,"Video Carousel, Images pack","Images pack, Knowledge Graph",4,-,https://www.solmarvillas.com/destinations/greece-villas/greek-islands/corfu/kouloura,4,2025-10-16,No Brand Mentioned,Not Cited,-,,Not Cited,5,-,https://www.solmarvillas.com/destinations/greece-villas/greek-islands/corfu/kouloura,5,2025-10-16,No Brand Mentioned,Not Cited,-,,Not Cited,Top10,0,2025-10-16
lachania villas,transactional,Greece,,0,0%,68%,"Images pack, Hotels","Images pack, Hotels",3,-,https://www.solmarvillas.com/destinations/greece-villas/greek-islands/rhodes/gennadi/villa-seashore,3,2025-10-16,No Brand Mentioned,Not Cited,-,,Not Cited,4,-,https://www.solmarvillas.com/destinations/greece-villas/greek-islands/rhodes/gennadi/villa-seashore,4,2025-10-16,No Brand Mentioned,Not Cited,-,,Not Cited,Top10,0,2025-10-16
lucca and pisa villas,informational,Italy | AI Overview Mobile,,0,0%,0%,"Video Carousel, Images pack, Flights, AI Overview",Images pack,5,-,https://www.solmarvillas.com/destinations/italy-villas/tuscany/lucca-and-pisa/villa-rural-serenity,5,2025-10-16,Only Others Mentioned,Not Cited,-,,Not Cited,4,-,https://www.solmarvillas.com/destinations/italy-villas/tuscany/lucca-and-pisa/villa-rural-serenity,4,2025-10-16,Only Others Mentioned,Not Cited,-,,Not Cited,Top10,0,2025-10-16
dubrovnik region villas,commercial,Croatia | AI Overview Desktop,,0,0%,68%,"Video Carousel, Images pack, Questions, Hotels","Images pack, Hotels, AI Overview",2,-,https://www.solmarvillas.com/destinations/croatia-villas/dubrovnik-region,2,2025-10-16,Only Others Mentioned,Not Cited,-,,Not Cited,4,-,https://www.solmarvillas.com/destinations/croatia-villas/dubrovnik-region/dubrovnik-town,4,2025-10-16,Mentioned,1,-,,https://www.solmarvillas.com/destinations/croatia-villas/dubrovnik-region/cavtat-and-mlini/rustic-charm,Top10,0,2025-10-16
caminha villas,transactional,Portugal,,0,0%,98%,Images pack,Images pack,1,-,https://www.solmarvillas.com/destinations/portugal-villas/costa-verde/caminha/villa-ruiva,1,2025-10-16,No Brand Mentioned,Not Cited,-,,Not Cited,2,-,https://www.solmarvillas.com/destinations/portugal-villas/costa-verde/caminha/villa-vista-insua,2,2025-10-16,No Brand Mentioned,Not Cited,-,,Not Cited,Top10,0,2025-10-16
chayofa villas,transactional,Spain,,40,-20%,67%,"Video Carousel, Images pack, Questions, Hotels","Images pack, Questions, Hotels",2,-,https://www.solmarvillas.com/destinations/spain-villas/canary-islands/tenerife/chayofa/villa-pandora,2,2025-10-16,No Brand Mentioned,Not Cited,-,,Not Cited,1,-,https://www.solmarvillas.com/destinations/spain-villas/canary-islands/tenerife/chayofa/villa-pandora,1,2025-10-16,No Brand Mentioned,Not Cited,-,,Not Cited,Top10,0,2025-10-16
beachfront villas in menorca villas,transactional,Spain,,0,0%,72%,"Video Carousel, Images pack, Hotels","Images pack, Hotels",1,-,https://www.solmarvillas.com/destinations/spain-villas/balearic-islands/menorca/beachfront-villas-in-menorca,1,2025-10-16,No Brand Mentioned,Not Cited,-,,Not Cited,1,-,https://www.solmarvillas.com/destinations/spain-villas/balearic-islands/menorca/beachfront-villas-in-menorca,1,2025-10-16,No Brand Mentioned,Not Cited,-,,Not Cited,Top10,0,2025-10-16
arenal den castell villas,transactional,Spain,,10,0%,72%,"Images pack, Hotels","Images pack, Hotels",2,-,https://www.solmarvillas.com/destinations/spain-villas/balearic-islands/menorca/arenal-den-castell,2,2025-10-16,No Brand Mentioned,Not Cited,-,,Not Cited,1,-,https://www.solmarvillas.com/destinations/spain-villas/balearic-islands/menorca/arenal-den-castell,1,2025-10-16,No Brand Mentioned,Not Cited,-,,Not Cited,Top10,0,2025-10-16
estoi villas,transactional,Portugal,,10,0%,68%,"Images pack, Hotels","Images pack, Hotels",3,-,https://www.solmarvillas.com/destinations/portugal-villas/algarve/estoi,3,2025-10-16,No Brand Mentioned,Not Cited,-,,Not Cited,2,-,https://www.solmarvillas.com/destinations/portugal-villas/algarve/estoi,2,2025-10-16,No Brand Mentioned,Not Cited,-,,Not Cited,Top10,0,2025-10-16
benissa villas,transactional,Spain,,30,-60%,72%,"Video Carousel, Images pack, Hotels","Images pack, Hotels",3,-,https://www.solmarvillas.com/destinations/spain-villas/mainland-spain/costa-blanca/benissa,3,2025-10-16,No Brand Mentioned,Not Cited,-,,Not Cited,3,-,https://www.solmarvillas.com/destinations/spain-villas/mainland-spain/costa-blanca/benissa,3,2025-10-16,No Brand Mentioned,Not Cited,-,,Not Cited,Top10,0,2025-10-16
majorca villas no car required villas,informational,Spain,,0,0%,100%,"Images pack, Local pack",Images pack,1,-,https://www.solmarvillas.com/destinations/spain-villas/balearic-islands/majorca/majorca-villas-no-car-required,1,2025-10-16,No Brand Mentioned,Not Cited,-,,Not Cited,1,-,https://www.solmarvillas.com/destinations/spain-villas/balearic-islands/majorca/majorca-villas-no-car-required,1,2025-10-16,No Brand Mentioned,Not Cited,-,,Not Cited,Top10,0,2025-10-16
kolymbia villas,transactional,Greece,,40,-56%,72%,"Video Carousel, Images pack, Hotels","Images pack, Hotels",4,-,https://www.solmarvillas.com/destinations/greece-villas/greek-islands/rhodes/kolymbia,4,2025-10-16,No Brand Mentioned,Not Cited,-,,Not Cited,3,-,https://www.solmarvillas.com/destinations/greece-villas/greek-islands/rhodes/kolymbia,3,2025-10-16,No Brand Mentioned,Not Cited,-,,Not Cited,Top10,0,2025-10-16
agni bay villas,transactional,Greece,,20,0%,78%,"Images pack, Local pack","Images pack, Local pack",4,-,https://www.solmarvillas.com/destinations/greece-villas/greek-islands/corfu/agni-bay/villa-agni-sea-view,4,2025-10-16,No Brand Mentioned,Not Cited,-,,Not Cited,2,-,https://www.solmarvillas.com/destinations/greece-villas/greek-islands/corfu/agni-bay/villa-agni-sea-view,2,2025-10-16,No Brand Mentioned,Not Cited,-,,Not Cited,Top10,0,2025-10-16
calan bosch villas,transactional,Spain,,90,-59%,68%,"Images pack, Hotels","Images pack, Hotels",2,-,https://www.solmarvillas.com/destinations/spain-villas/balearic-islands/menorca/calan-bosch,2,2025-10-16,No Brand Mentioned,Not Cited,-,,Not Cited,2,-,https://www.solmarvillas.com/destinations/spain-villas/balearic-islands/menorca/calan-bosch,2,2025-10-16,No Brand Mentioned,Not Cited,-,,Not Cited,Top10,0,2025-10-16
callao salvaje villas,transactional,Spain,,30,-57%,68%,"Video Carousel, Images pack, Hotels",Hotels,3,-,https://www.solmarvillas.com/destinations/spain-villas/canary-islands/tenerife/callao-salvaje,3,2025-10-16,No Brand Mentioned,Not Cited,-,,Not Cited,3,-,https://www.solmarvillas.com/destinations/spain-villas/canary-islands/tenerife/callao-salvaje,3,2025-10-16,No Brand Mentioned,Not Cited,-,,Not Cited,Top10,0,2025-10-16
torremolinos villas,transactional,Spain,,110,-18%,68%,"Images pack, Hotels","Images pack, Hotels",1,-,https://www.solmarvillas.com/destinations/spain-villas/mainland-spain/costa-del-sol/torremolinos,1,2025-10-16,No Brand Mentioned,Not Cited,-,,Not Cited,2,-,https://www.solmarvillas.com/destinations/spain-villas/mainland-spain/costa-del-sol/torremolinos,2,2025-10-16,No Brand Mentioned,Not Cited,-,,Not Cited,Top10,0,2025-10-16
nidri villas,transactional,Greece,,30,-50%,68%,"Video Carousel, Images pack, Hotels","Images pack, Hotels",1,-,https://www.solmarvillas.com/destinations/greece-villas/greek-islands/lefkas/nidri,1,2025-10-16,No Brand Mentioned,Not Cited,-,,Not Cited,2,-,https://www.solmarvillas.com/destinations/greece-villas/greek-islands/lefkas/nidri,2,2025-10-16,No Brand Mentioned,Not Cited,-,,Not Cited,Top10,0,2025-10-16
hersonissos and gouves villas,transactional,Greece | AI Overview Desktop,,0,0%,87%,Images pack,"Images pack, AI Overview",1,-,https://www.solmarvillas.com/destinations/greece-villas/greek-islands/crete/hersonissos-and-gouves,1,2025-10-16,No Brand Mentioned,Not Cited,-,,Not Cited,1,-,https://www.solmarvillas.com/destinations/greece-villas/greek-islands/crete/hersonissos-and-gouves,1,2025-10-16,No Brand Mentioned,1,-,,https://www.solmarvillas.com/destinations/greece-villas/greek-islands/crete/hersonissos-and-gouves/kamelia-villa-2,Top10,0,2025-10-16
punta prima villas,informational,Spain,,70,-22%,67%,"Images pack, Questions, Hotels","Images pack, Hotels",2,-,https://www.solmarvillas.com/destinations/spain-villas/balearic-islands/menorca/punta-prima,2,2025-10-16,No Brand Mentioned,Not Cited,-,,Not Cited,2,-,https://www.solmarvillas.com/destinations/spain-villas/balearic-islands/menorca/punta-prima,1,2025-10-16,No Brand Mentioned,Not Cited,-,,Not Cited,Top10,0,2025-10-16
keri villas,transactional,Greece | AI Overview Desktop,,20,-33%,87%,"Video Carousel, Images pack","Images pack, Knowledge Graph, AI Overview",1,-,https://www.solmarvillas.com/destinations/greece-villas/greek-islands/zakynthos/keri,1,2025-10-16,Only Others Mentioned,Not Cited,-,,Not Cited,2,-,https://www.solmarvillas.com/destinations/greece-villas/greek-islands/zakynthos/keri,2,2025-10-16,Mentioned,1,-,,https://www.solmarvillas.com/destinations/greece-villas/greek-islands/zakynthos/keri/alkyonides-plumage,Top10,0,2025-10-16
trogir villas,transactional,Croatia,,170,0%,68%,"Video Carousel, Images pack, Hotels","Images pack, Hotels",3,-,https://www.solmarvillas.com/destinations/croatia-villas/split-region/trogir/villa-port-side,3,2025-10-16,No Brand Mentioned,Not Cited,-,,Not Cited,3,-,https://www.solmarvillas.com/destinations/croatia-villas/split-region/trogir/villa-port-side,3,2025-10-16,No Brand Mentioned,Not Cited,-,,Not Cited,Top10,0,2025-10-16
dubrovnik town villas,transactional,Croatia | AI Overview Desktop | AI Overview Mobile,,0,0%,51%,"Video Carousel, Images pack, Hotels, AI Overview","Images pack, Hotels, AI Overview",2,-,https://www.solmarvillas.com/destinations/croatia-villas/dubrovnik-region/dubrovnik-town,2,2025-10-16,Only Others Mentioned,Not Cited,-,,Not Cited,2,-,https://www.solmarvillas.com/destinations/croatia-villas/dubrovnik-region,2,2025-10-16,Only Others Mentioned,Not Cited,-,,Not Cited,Top10,0,2025-10-16
slano villas,transactional,Croatia,,0,0%,68%,"Images pack, Hotels",Hotels,3,-,https://www.solmarvillas.com/destinations/croatia-villas/dubrovnik-region/slano/villa-sea-queen-i,3,2025-10-16,No Brand Mentioned,Not Cited,-,,Not Cited,3,-,https://www.solmarvillas.com/destinations/croatia-villas/dubrovnik-region/slano/villa-sea-queen-i,3,2025-10-16,No Brand Mentioned,Not Cited,-,,Not Cited,Top10,0,2025-10-16
tragaki villas,transactional,Greece,,10,-100%,68%,"Images pack, Hotels","Images pack, Hotels",2,-,https://www.solmarvillas.com/destinations/greece-villas/greek-islands/zakynthos/tragaki,2,2025-10-16,No Brand Mentioned,Not Cited,-,,Not Cited,2,-,https://www.solmarvillas.com/destinations/greece-villas/greek-islands/zakynthos/tragaki,2,2025-10-16,No Brand Mentioned,Not Cited,-,,Not Cited,Top10,0,2025-10-16
self catering holidays puerto pollensa villas,transactional,Spain | AI Overview Desktop,,0,0%,68%,"Images pack, Local pack","Local pack, AI Overview",1,-,https://www.solmarvillas.com/destinations/spain-villas/balearic-islands/majorca/puerto-pollensa,1,2025-10-16,Only Others Mentioned,Not Cited,-,,Not Cited,1,-,https://www.solmarvillas.com/destinations/spain-villas/balearic-islands/majorca/puerto-pollensa,1,2025-10-16,Only Others Mentioned,Not Cited,-,,Not Cited,Top10,0,2025-10-16
disney and kissimmee villas,informational,USA,,0,0%,80%,"Video Carousel, Images pack, Hotels","Ads Pack Down, Images pack, Hotels",3,-,https://www.solmarvillas.com/destinations/usa-villas/florida/orlando/disney-and-kissimmee,3,2025-10-16,No Brand Mentioned,Not Cited,-,,Not Cited,3,-,https://www.solmarvillas.com/destinations/usa-villas/florida/orlando/disney-and-kissimmee,3,2025-10-16,No Brand Mentioned,Not Cited,-,,Not Cited,Top10,0,2025-10-16
calheta villas,transactional,Portugal,,0,0%,68%,"Video Carousel, Images pack, Hotels","Images pack, Hotels",3,-,https://www.solmarvillas.com/destinations/portugal-villas/madeira/calheta/casa-das-flores,3,2025-10-16,No Brand Mentioned,Not Cited,-,,Not Cited,2,-,https://www.solmarvillas.com/destinations/portugal-villas/madeira/calheta/villa-calheta-heights,2,2025-10-16,No Brand Mentioned,Not Cited,-,,Not Cited,Top10,0,2025-10-16
kalathos villas,transactional,Greece,,20,-57%,96%,"Video Carousel, Images pack, Local pack",Images pack,3,-,https://www.solmarvillas.com/destinations/greece-villas/greek-islands/rhodes/kalathos,3,2025-10-16,No Brand Mentioned,Not Cited,-,,Not Cited,3,-,https://www.solmarvillas.com/destinations/greece-villas/greek-islands/rhodes/kalathos,3,2025-10-16,No Brand Mentioned,Not Cited,-,,Not Cited,Top10,0,2025-10-16
usa villas,transactional,USA | AI Overview Desktop,,720,-18%,0%,"Video Carousel, Images pack, Hotels","Images pack, Questions, Hotels, AI Overview",3,-,https://www.solmarvillas.com/destinations/usa-villas,3,2025-10-16,Only Others Mentioned,Not Cited,-,,Not Cited,3,-,https://www.solmarvillas.com/destinations/usa-villas,3,2025-10-16,Mentioned,8,-,,https://www.solmarvillas.com/destinations/usa-villas,Top10,0,2025-10-16
kardamili villas,informational,Greece,,20,0%,98%,"Video Carousel, Images pack","Images pack, Knowledge Graph",3,-,https://www.solmarvillas.com/destinations/greece-villas/mainland-greece/peloponnese/kardamili/villa-mare,3,2025-10-16,No Brand Mentioned,Not Cited,-,,Not Cited,3,-,https://www.solmarvillas.com/destinations/greece-villas/mainland-greece/peloponnese/kardamili/villa-mare,3,2025-10-16,No Brand Mentioned,Not Cited,-,,Not Cited,Top10,0,2025-10-16
esposende villas,informational,Portugal,,0,0%,77%,"Images pack, Hotels","Images pack, Hotels",1,-,https://www.solmarvillas.com/destinations/portugal-villas/costa-verde/esposende/villa-esposende,1,2025-10-16,No Brand Mentioned,Not Cited,-,,Not Cited,1,-,https://www.solmarvillas.com/destinations/portugal-villas/costa-verde/esposende/villa-esposende,1,2025-10-16,No Brand Mentioned,Not Cited,-,,Not Cited,Top10,0,2025-10-16
gennadi villas,transactional,Greece,,30,0%,68%,"Images pack, Hotels","Images pack, Hotels",1,-,https://www.solmarvillas.com/destinations/greece-villas/greek-islands/rhodes/gennadi,1,2025-10-16,No Brand Mentioned,Not Cited,-,,Not Cited,1,-,https://www.solmarvillas.com/destinations/greece-villas/greek-islands/rhodes/gennadi,1,2025-10-16,No Brand Mentioned,Not Cited,-,,Not Cited,Top10,0,2025-10-16
